"","portRet","turnover","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct","monthly_Rf","portSR","monthly_Rm","Rp_minus_Rm","portIR","portBeta","portTR"
"2001-08-31",-0.236309794,0.178,-0.56068511514169,-0.380634164,0.370462636,0.208919395597769,0.3012557605,0.380634164,0.763690206,2957.28112637411,6996.95678916335,-4039.67566278924,-0.577347521860611,0.002996,-0.236840052715503,-0.063435,-0.172874794,-0.138399058440747,2.14110783803521,-0.0231097564483592
"2001-09-28",-0.291415362,0.182,-0.687531395210997,-0.380634164,0.370462636,0.219923066409404,0.3315638229,0.380634164,0.708584638,2095.48397639603,6996.95678916335,-4901.47281276732,-0.700514946777798,0.00273,-0.333090688769762,-0.080361,-0.211054362,-0.256404216472812,2.22597661818048,-0.0329088477697241
"2001-10-31",0.388354024,0.11,-0.521565109558953,-0.380634164,0.388354024,0.256128417659379,0.3315638229,0.380634164,1.388354024,2909.27361085695,6996.95678916335,-4087.6831783064,-0.584208721231102,0.002154,-0.128313549899435,0.01954,0.368814024,-0.0324814198959367,2.36942375346086,-0.0138703541112039
"2001-11-30",0.13752995,0.14,-0.386872864782841,-0.380634164,0.388354024,0.258897280317726,0.3315638229,0.380634164,1.13752995,3309.38586509443,6996.95678916335,-3687.57092406892,-0.527024967451579,0.001749,-0.0454705742198328,0.078787,0.05874295,0.0041237371143682,2.42160988796541,-0.00486131480487585
"2001-12-31",0.040486404,0.151,-0.426728221418702,-0.380634164,0.388354024,0.25665076907713,0.3315638229,0.380634164,1.040486404,3443.37099822053,6996.95678916335,-3553.58579094282,-0.507875909201911,0.001484,-0.068244109416259,0.009051,0.031435404,-0.0259208126320704,2.40779435755131,-0.00727425210202714
"2002-01-31",-0.032848082,0.195,-0.524041241690622,-0.380634164,0.388354024,0.250362344867558,0.3315638229,0.380634164,0.967151918,3330.26286531456,6996.95678916335,-3666.69392384879,-0.524041241690622,0.00139,-0.134493952559623,-0.014324,-0.018524082,-0.0878952814760947,2.38295850650201,-0.0141304270474946
"2002-02-28",-0.138283044,0.288,-0.337803752559744,-0.291415362,0.388354024,0.228396708581654,0.2611072996,0.291415362,0.861716956,2869.7439789787,6996.95678916335,-4127.21281018465,-0.589858267608103,0.001285,-0.0581398979687396,-0.019481,-0.118802044,-0.019911332035623,2.37896453621638,-0.00558182399576785
"2002-03-28",0.198131724,0.145,0.0326924076892279,-0.291415362,0.388354024,0.224252409517064,0.2611072996,0.291415362,1.198131724,3438.33130097237,6996.95678916335,-3558.62548819098,-0.50859617908495,0.001341,0.101627233567209,0.037572,0.160559724,0.125789968705788,2.4349257243514,0.00935969084070137
"2002-04-30",-0.142131774,0.156,-0.353565737206989,-0.291415362,0.388354024,0.19999901513878,0.2611072996,0.291415362,0.857868226,2949.63517356544,6996.95678916335,-4047.32161559791,-0.578440275901984,0.001546,-0.098664896689486,-0.061001,-0.081130774,-0.0446448378598067,2.47045614615703,-0.00798754602358055
"2002-05-31",-0.04877459,0.156,-0.377698247592695,-0.291415362,0.388354024,0.200186670536073,0.2611072996,0.291415362,0.95122541,2805.76792732521,6996.95678916335,-4191.18886183814,-0.599001678605378,0.001442,-0.113203328869573,-0.0078,-0.04097459,-0.0555213379250424,2.47505074568731,-0.00915609408796463
"2002-06-28",-0.15196112,0.217,-0.514647955010314,-0.291415362,0.388354024,0.200368757786794,0.2611072996,0.291415362,0.84803888,2379.40029062879,6996.95678916335,-4617.55649853456,-0.659937832642625,0.001312,-0.212010375948273,-0.071349,-0.08061212,-0.153391459966225,2.54261726530619,-0.0167072945843271
"2002-07-31",-0.106192956,0.199,-0.45079321661057,-0.291415362,0.388354024,0.194537693528406,0.2611072996,0.291415362,0.893807044,2126.72474025966,6996.95678916335,-4870.23204890369,-0.696050039418071,0.001507,-0.173210057078629,-0.073987,-0.032205956,-0.0727571822879899,2.51806566482126,-0.013381654605259
"2002-08-30",-0.116138874,0.206,-0.364372461294312,-0.291415362,0.388354024,0.18596572737043,0.2147155289,0.291415362,0.883861126,1879.72932361796,6996.95678916335,-5117.22746554539,-0.731350445592401,0.001402,-0.126629829411663,0.007061,-0.123199874,-0.0475360380582021,2.4923037709489,-0.00944861080251367
"2002-09-30",-0.17460618,0.198,-0.259590154606929,-0.17460618,0.388354024,0.173196688592232,0.162151397,0.17460618,0.82539382,1551.51696698704,6996.95678916335,-5445.43982217631,-0.778258318046214,0.001414,-0.0791299376337001,-0.108965,-0.06564118,0.0347905940270692,2.40126147294997,-0.00570743474671665
